Scheme	number of apps	Apps
application-identifier	5020	
com.apple.developer.team-identifier	4897	
aps-environment	4087	
com.apple.developer.associated-domains	2857	
com.apple.security.application-groups	2082	
keychain-access-groups	1615	
com.apple.developer.applesignin	1385	
com.apple.developer.icloud-container-identifiers	640	
com.apple.developer.icloud-services	548	
com.apple.developer.icloud-container-environment	526	
com.apple.developer.in-app-payments	508	
com.apple.developer.ubiquity-kvstore-identifier	468	
com.apple.developer.networking.wifi-info	462	
com.apple.developer.ubiquity-container-identifiers	383	
com.apple.developer.siri	354	
com.apple.developer.healthkit	243	
com.apple.developer.pass-type-identifiers	227	
com.apple.developer.usernotifications.time-sensitive	147	
com.apple.developer.healthkit.access	139	
com.apple.developer.default-data-protection	119	
com.apple.developer.payment-pass-provisioning	102	
com.apple.developer.networking.networkextension	91	
com.apple.developer.authentication-services.autofill-credential-provider	87	
com.apple.developer.networking.HotspotConfiguration	85	
com.apple.developer.nfc.readersession.formats	73	
com.apple.developer.associated-appclip-app-identifiers	73	
com.apple.developer.networking.multicast	70	
com.apple.smoot.subscriptionservice	66	
com.apple.developer.networking.vpn.api	61	
com.apple.developer.group-session	60	
com.apple.external-accessory.wireless-configuration	58	
com.apple.developer.playable-content	55	
com.apple.developer.usernotifications.communication	50	
com.apple.developer.user-fonts	45	
com.apple.developer.healthkit.background-delivery	42	
com.apple.developer.carplay-audio	37	
com.apple.developer.video-subscriber-single-sign-on	36	
com.apple.springboard.opensensitiveurl	35	
com.apple.security.exception.mach-lookup.global-name	34	
com.apple.developer.devicecheck.appattest-environment	33	
com.apple.private.tcc.allow	30	
com.apple.developer.usernotifications.critical-alerts	30	
com.apple.developer.passkit.pass-presentation-suppression	27	
com.apple.security.exception.shared-preference.read-write	25	
com.apple.CommCenter.fine-grained	24	
com.apple.private.security.system-application	23	
platform-application	22	
com.apple.private.coreservices.canmaplsdatabase	22	
com.apple.developer.homekit	22	
inter-app-audio	21	
com.apple.Contacts.database-allow	21	
com.apple.private.security.container-required	21	
com.apple.accounts.appleaccount.fullaccess	21	
com.apple.private.accounts.allaccounts	21	
com.apple.developer.networking.multipath	20	
com.apple.security.exception.files.home-relative-path.read-write	20	
com.apple.developer.carplay-maps	19	
com.apple.developer.networking.HotspotHelper	19	
com.apple.authkit.client.private	19	
com.apple.itunesstored.private	19	
com.apple.private.hid.client.event-dispatch.internal	18	
com.apple.private.contactsui	18	
com.apple.private.MobileGestalt.AllowedProtectedKeys	18	
fairplay-client	16	
com.apple.coreduetd.allow	16	
com.apple.developer.ClassKit-environment	14	
com.apple.private.corerecents	14	
com.apple.security.exception.shared-preference.read-only	14	
com.apple.frontboard.launchapplications	14	
com.apple.developer.mail-client	14	
com.apple.private.canGetAppLinkInfo	13	
com.apple.telephonyutilities.callservicesd	13	
com.apple.private.suggestions.contacts	13	
com.apple.private.applemediaservices	13	
com.apple.authkit.client.internal	13	
com.apple.private.mobileinstall.xpc-services-enabled	12	
com.apple.locationd.effective_bundle	12	
com.apple.developer.pushkit.unrestricted-voip	12	
com.apple.wifi.manager-access	12	
